"Catégories","Sous-Catégories","Nouveauté","Référence","Titre","Description","Visuel","Animation","Format","Fichier (téléchargement)","Délai (en jours)","Echelle","Dimmension (mm)","Prix","Prix Promo","Poids (gramme)"
"E-industrie","Automobile Particuliere",,"IAP1","toyota_hilux_double_cabine_exterieur_2008","Reproduction réalisée d'après l'exemplaire réel","toyota_hilux_double_cabine.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP2","toyota_hilux_double_cabine_interieur_2008","Reproduction réalisée d'après l'exemplaire réel","toyota_hilux_double_cabine_interieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP3","peugeot_205_3P_GTI_exterieur","Reproduction réalisée d'après l'exemplaire réel","peugeot_205_3P_GTI_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP4","peugeot_205_3P_GTI_interieur","Reproduction réalisée d'après l'exemplaire réel","peugeot_205_3P_GTI_interieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP5","peugeot_204_4P_exterieur","Reproduction réalisée d'après l'exemplaire réel","peugeot_204_4P_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP6","peugeot_204_4P_interieur","Reproduction réalisée d'après l'exemplaire réel","peugeot_204_4P_interieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP7","renault_4l_4p_exterieur","Reproduction réalisée d'après l'exemplaire réel","renault_4l_4p_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP8","renault_4l_4p_interieur","Reproduction réalisée d'après l'exemplaire réel","renault_4l_4p_interieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP9","fiat_500_3p_exterieur_2007","Reproduction réalisée d'après l'exemplaire réel","fiat_500_3p_exterieur_2007.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP10","fiat_500_3p_interieur_2007","Reproduction réalisée d'après l'exemplaire réel","fiat_500_3p_interieur_2007.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP11","renault_clio_2_v6_exterieur","Reproduction réalisée d'après l'exemplaire réel","renault_clio_2_v6_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP12","renault_spider","Reproduction réalisée d'après l'exemplaire réel","renault_spider.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP13","mini_2p_2007_exterieur","Reproduction réalisée d'après l'exemplaire réel","mini_2p_2007_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP14","nissan_qashquai_2007_exterieur","Reproduction réalisée d'après l'exemplaire réel","nissan_qashquai_2007_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP15","renault_alpine_berlinette_exterieur","Reproduction réalisée d'après l'exemplaire réel","renault_alpine_berlinette_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP16","audi_a4_2008_exterieur","Reproduction réalisée d'après l'exemplaire réel","audi_a4_2008_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP17","peugeot_207_2008_5p_exterieur","Reproduction réalisée d'après l'exemplaire réel","peugeot_207_2008_5p_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP18","honda_civic_2008_sedan_exterieur","Reproduction réalisée d'après l'exemplaire réel","honda_civic_2008_sedan_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP19","fiat_linea_2008_exterieur","Reproduction réalisée d'après l'exemplaire réel","fiat_linea_2008_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP20","nissan_grand_livina_2008_exterieur","Reproduction réalisée d'après l'exemplaire réel","nissan_grand_livina_2008_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Particuliere",,"IAP21","mercedes_b_2008_exterieur","Reproduction réalisée d'après l'exemplaire réel","mercedes_b_2008_exterieur.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Motocycle",,"IMO1","bmw_c1","Reproduction réalisée d'après l'exemplaire réel","bmw_c1.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Motocycle Accesoires",,"IMA1","pare-boue","Reproduction réalisée d'après l'exemplaire réel","pare-boue.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
